num,name_pt,name_zh,cas,ec
205,Metocarbamol*,*美索巴莫,532-03-6,208-524-3
206,Propatilnitrato*,*丙帕硝酯,2921-92-8,220-866-5
207,"4, 4' - Dihidroxi - 3, 3' - (3 - metiltiopropilideno) dicumarina",4,-,-
208,Fenadiazol*,*芬那唑,1008-65-7,-
209,Nitroxolina* e seus sais,*硝羟喹啉及其盐,4008-48-4,223-662-4
210,"Hiosciamina, seus sais e derivados",莨菪碱、其盐及衍生物,101-31-5,202-933-0
211,"Hyoscyamus niger L. (folhas, sementes, pó e preparações galênicas)",天仙子（Hyoscyamus niger L.，叶、种子、粉末及植物制剂）,84603-65-6,283-265-7
212,Pemolina* e seus sais,*匹莫林及其盐,2152-34-3,218-438-8
213,"Iodo elementar, como por exemplo PVPI",单质碘（如聚维酮碘）,7553-56-2,231-442-4
214,exemplo brometo de decametônio*,*十甲铵溴化物,541-22-0,208-772-2
216,(2 – Isopropilpenta - 4 - enoil) uréia (apronalida),2-异丙基戊-4-烯酰脲（阿普隆）,528-92-7,208-443-3
218,Lobelia inflata L. e suas preparações galênicas,半边莲（Lobelia inflata L.）及其植物制剂,84696-23-1,283-642-6
219,Lobelina* e seus sais,*山梗菜碱及其盐,90-69-7,202-012-3
220,Barbitúricos,巴比妥类,-,-
221,"Mercúrio e seus compostos, exceto aqueles casos especiais mencionados em outras listas de substâncias",汞及其化合物（其他列表另有规定的特殊情况除外）,7439-97-6,231-106-7
222,"3, 4, 5 - Trimetoxifenetilamina (mescalina) e seus sais",3,54-04-6,200-190-7
223,Metaldeído,多聚乙醛,9002-91-9,-
224,"2 - (4 - Alil - 2 - metoxifenoxi) - N, N - dietilacetamida e seus sais",2-(4-烯丙基-2-甲氧基苯氧基)-N,305-13-5,-
225,Cumetarol*,*香豆塔醇,4366-18-1,224-455-1
226,Dextrometorfano* e seus sais,*右美沙芬及其盐,125-71-3,204-752-2
227,2 - Metilheptilamina e seus sais,2-甲基庚胺及其盐,540-43-2,-
228,Isometapteno* e seus sais,*异美普汀及其盐,503-01-5,207-959-6
229,Mecamilamina*,*美加明,60-40-2,200-476-1
230,Guaifenesina*,*愈创甘油醚,93-14-1,202-222-5
231,Dicumarol*,*双香豆素,66-76-2,200-632-9
232,"Fenmetrazina*, seus sais e derivados",*苯甲曲秦、其盐及衍生物,134-49-6,205-143-4
233,Tiamazol*,*甲巯咪唑,60-56-0,200-482-4
235,Carisoprodol*,*卡立普多,78-44-4,201-118-7
236,Meprobamato*,*甲丙氨酯,57-53-4,200-337-5
237,Tefazolina* e seus sais,*替法唑啉及其盐,1082-56-0,-
238,Arecolina,槟榔碱,63-75-2,200-565-5
239,Metilsulfato de Poldina*,*波尔定甲硫酸盐,545-80-2,208-894-6
240,Hidroxizina*,*羟嗪,68-88-2,200-693-1
241,2 – Naftol,2-萘酚,135-19-3,205-182-7
243,3 - (1 - Naftil) - 4 - hidroxicumarina,3-(1-萘基)-4-羟基香豆素,39923-41-6,-
244,Nafazolina* e seus sais,*萘甲唑啉及其盐,835-31-4,212-641-5
245,"Neoestigmina e seus sais, por exemplo brometo de neoestigmina*",新斯的明及其盐，如*溴新斯的明,114-80-7,204-054-8
246,Nicotina e seus sais,烟碱及其盐,54-11-5,200-193-3
247,Nitritos de Amila,亚硝酸异戊酯,110-46-3,203-770-8
248,"Nitritos Inorgânicos, com exceção do Nitrito de Sódio",无机亚硝酸盐（亚硝酸钠除外）,14797-65-0,-
249,Nitrobenzeno,硝基苯,98-95-3,202-716-0
250,Nitrocresóis e seus sais de metais alcalinos,硝基甲酚及其碱金属盐,12167-20-3,-
251,Nitrofurantoína*,*呋喃妥因,67-20-9,200-646-5
252,Furazolidona*,*呋喃唑酮,67-45-8,200-653-3
253,Nitroglicerina,硝酸甘油,55-63-0,200-240-8
254,Acenocumarol*,*醋硝香豆素,152-72-7,205-807-3
255,Ferrato alcalino de Pentacianonitrosilo (2-) ( Nitroprussiatos ),五氰亚硝酰合铁(II)酸盐（硝普盐）,14402-89-2,-
